id_photo,nbr_lane,speed,traffic,slope,type,green
1,0,0,0,0,3,1
2,0,0,0,0,2,2
3,1,1,1,0,1,1
4,1,1,1,0,0,0
5,0,0,0,0,3,0
6,0,0,0,1,2,2
7,1,2,2,1,0,0
8,1,2,2,0,1,0
9,0,0,0,1,3,0
10,1,3,2,0,1,1
11,0,0,0,2,3,1
12,3,3,3,0,0,1
13,2,3,3,0,1,1
14,3,3,3,0,1,1
15,2,3,3,1,1,1
16,1,2,2,2,0,0
17,0,0,0,1,3,1
